, Fuel Type, Transmission, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Seat Belt Warning, Child Lock, Overspeed Warning, Anti theft Engine immobilizer, Puncture Repair Kit, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Gear Shift Indicator, Parking Sensors, Clock, Headlights On Reminder, Tachometer, Android / Apple Connectivity , Steering Adjustment, Air Conditioner, Heater, Front AC, 12V Power Outlets, Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Electronic Stability Program (ESP), Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Roof Mounted Antenna, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres),NAME, Speed Sensing Door Lock, Central Locking, Integrated Music System, Unit / Display Size, Infotainment Display, Steering Mounted Controls, Speakers, Aux Support, MP3 Playback, Power Windows, Turn Indicators on ORVM, Follow me home head Lights, Parking Assist, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, iPod Compatibility, Vanity Mirrors on Sun Visors, Alternate Fuel, Voice Command Support, Anti-glare Rear View Mirrors, Active Gear Display, Tyre Pressure Monitoring (TPMS), Window Control: One Touch -Down, Rear Wiper, Rear Glass Defogger, Daytime Running Lights, Fog Lamps, Cooled Glove Box, Others, Anchor Points for Child Seat, Real Time Mileage, Average Speed, Braking Performance, Lights on Vanity Mirrors, Body Kit, Flashing Emergency Brake Light , Push Button Start / Stop, Cruise Control Driving Mode, Cornering Headlights, Light inside Glove Box, Traction Control, Adjustment Options - Rear Row Seat, Armrest for Rear Seat, Rain-sensing Wipers, Automatic Head Lights, Puddle Lights, Leather-wrapped Steering, Leather-wrapped Gear Knob, Pockets in Front Seat-back, Seat Adjustment, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote Car Light Flashing & Honking Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, GPS & Navigation, Brake Assist in Emergency (BA), Doot Sill Plates, Ambient or soft Interior Lighting, Turbo / SuperCharger, Sunglass Holder, Rear AC, Driver Armrest, Storage in Driver Armrest, Sunroof / Moonroof, WIndow Control: One Touch - Up, Wireless Charger, Rub - Strips, Hill Hold Assist, Split Rear Seat, Ventilated Seats, Ventilated Seat Type, Electric Motor, Peak Motor Performance, Battery, Remote AC Control Via app, Battery Warranty (Years), Top Speed, Time for 0-100 kmph Acceleration , Battery Charging, Hill Descent Control, Reading Lamp for Rear Passengers, Forward Collision Warning , High-beam Assist, Lane Departure Warning, AC for Third Row, Adjustment Options - Third Row Seat, Third Row Seats Type, Split Third Row Seat, Third Row Cup Holders
0, Petrol, Manual - 5 Gears, 19.01, 665," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", Revotron 1.2 L, 85 bhp @ 6000 rpm, 113 Nm @ 3300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson (dual path) strut type", Rear twist beam with coil spring mounted on hydraulic shock absorbers, Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 242, 35, 5, 3765, 1677, 1535, 2400, 170, 935, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Black, Painted, Black, Internally Adjustable, Internal with Key, Halogen,No information, Halogen, Dual Tone, Black and Grey, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol, Manual - 5 Gears, 19.01, 665," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", Revotron 1.2 L , 85 bhp @ 6000 rpm, 113 Nm @ 3300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson (dual path) strut type", Rear twist beam with coil spring mounted on hydraulic shock absorbers, Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 242, 35, 5, 3765, 1677, 1535, 2400, 170, 947, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Painted, Piano Black, Electrically Adjustable, Internal with Key, Halogen,No information, Halogen, Dual Tone, Black and Grey, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XT (O),No information, Keyless,No information, 2 Din, Digital Display,No information, 4,No information,No information, Front & Rear,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol, Manual - 5 Gears, 19.01, 665," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", Revotron 1.2 L , 85 bhp @ 6000 rpm, 113 Nm @ 3300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson (dual path) strut type", Rear twist beam with coil spring mounted on hydraulic shock absorbers, Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 242, 35, 5, 3765, 1677, 1535, 2400, 170, 947, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Painted, Piano Black, Electrically Adjustable, Internal with Key, Halogen,No information, Halogen, Dual Tone, Black and Grey, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XT,No information, Keyless,No information, 2 Din, Digital Display,No information, 4,No information,No information, Front & Rear,No information,No information, Visual display,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, CNG, Manual - 5 Gears, 26.49, 927," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 l i-CNG, 72 bhp @ 6000 rpm, 95 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson Strut with Coil Spring"," Semi Independent, Closed Profile Twist Beam with Dual Path Strut", Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel,, 60, 5, 3765, 1677, 1535, 2400, 168, 1040, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Black, Painted, Black, Internally Adjustable, Internal with Key, Halogen,No information, Halogen, Dual Tone, Black and Grey, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XE CNG,,,,,,,,,,,,,,,,,,, Petrol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Petrol, Manual - 5 Gears, 19.01, 665," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", Revotron 1.2 L , 85 bhp @ 6000 rpm, 113 Nm @ 3300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson (dual path) strut type", Rear twist beam with coil spring mounted on hydraulic shock absorbers, Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 242, 35, 5, 3765, 1677, 1535, 2400, 170, 947, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Painted, Piano Black, Electrically Adjustable, Internal with Key, Halogen,No information, Halogen, Dual Tone, Black and Grey, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XT Rhythm,No information, Keyless,No information, 2 Din, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, CNG, Manual - 5 Gears, 26.49, 927," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 l i-CNG, 72 bhp @ 6000 rpm, 95 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson Strut with Coil Spring"," Semi Independent, Closed Profile Twist Beam with Dual Path Strut", Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel,, 60, 5, 3765, 1677, 1535, 2400, 168, 1040, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Painted, Black, Internally Adjustable, Internal with Key, Halogen,No information, Halogen, Dual Tone, Black and Grey, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XM CNG,, With Key,,, Digital Display,, 2,No information,, Front & Rear,,, Visual display,No information, Phone & Audio Streaming,No information,No information,, Petrol,, Manual - Internal Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Petrol," AMT - 5 Gears, Manual Override", 19, 665," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", Revotron 1.2 L, 85 bhp @ 6000 rpm, 113 Nm @ 3300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson (dual path) strut type", Rear twist beam with coil spring mounted on hydraulic shock absorbers, Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 242, 35, 5, 3765, 1677, 1535, 2400, 170, 982, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Painted, Piano Black, Electrically Adjustable, Internal with Key, Halogen,No information, Halogen, Dual Tone, Black and Grey, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XTA,No information, Keyless,No information, 2 Din, Digital Display,No information, 4,No information,No information, Front & Rear,No information,No information, Visual display,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Petrol, Manual - 5 Gears, 19.01, 665," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", Revotron 1.2 L, 85 bhp @ 6000 rpm, 113 Nm @ 3300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson (dual path) strut type", Rear twist beam with coil spring mounted on hydraulic shock absorbers, Alloy Wheels, 175 / 60 R15, 175 / 60 R15, Steel, 242, 35, 5, 3765, 1677, 1535, 2400, 170, 971, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Chrome, Chrome, Piano Black, Electrically Adjustable & Retractable, Internal with Key, Halogen Projector,No information, Halogen, Dual Tone, Premium Black and Beige, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XZ Plus,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,,No information, Driver,No information,No information, LED, Halogen on front,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Petrol, Manual - 5 Gears, 19.01, 665," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", Revotron 1.2 L , 85 bhp @ 6000 rpm, 113 Nm @ 3300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson (dual path) strut type", Rear twist beam with coil spring mounted on hydraulic shock absorbers, Alloy Wheels, 175 / 60 R15, 175 / 60 R15, Steel, 242, 35, 5, 3765, 1677, 1535, 2400, 170, 982, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Chrome, Chrome, Piano Black, Electrically Adjustable & Retractable, Internal with Key, Halogen Projector,No information, Halogen, Dual Tone, Premium Black and Beige, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XZ Plus Dual Tone,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,,No information, Driver,No information,No information, LED, Halogen on front,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, CNG, Manual - 5 Gears, 26.49, 927," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 l i-CNG, 72 bhp @ 6000 rpm, 95 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson Strut with Coil Spring"," Semi Independent, Closed Profile Twist Beam with Dual Path Strut", Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel,, 60, 5, 3765, 1677, 1535, 2400, 168, 1040, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Painted, Piano Black, Electrically Adjustable, Internal with Key, Halogen,No information, Halogen, Dual Tone, Black and Grey, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XT CNG,No information, Keyless,No information, 2 Din, Digital Display,No information, 4,No information,No information, Front & Rear,No information,No information, Visual display,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only, Petrol,, Manual - Internal Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, Petrol," AMT - 5 Gears, Manual Override", 19, 665," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", Revotron 1.2 L , 85 bhp @ 6000 rpm, 113 Nm @ 3300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson (dual path) strut type", Rear twist beam with coil spring mounted on hydraulic shock absorbers, Alloy Wheels, 175 / 60 R15, 175 / 60 R15, Steel, 242, 35, 5, 3765, 1677, 1535, 2400, 170, 987, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Chrome, Chrome, Piano Black, Electrically Adjustable & Retractable, Internal with Key, Halogen Projector,No information, Halogen, Dual Tone, Premium Black and Beige, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XZA Plus,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED, Halogen on front,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11, Petrol," AMT - 5 Gears, Manual Override", 19, 665," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", Revotron 1.2 L, 85 bhp @ 6000 rpm, 113 Nm @ 3300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson (dual path) strut type", Rear twist beam with coil spring mounted on hydraulic shock absorbers, Alloy Wheels, 175 / 60 R15, 175 / 60 R15, Steel, 242, 35, 5, 3765, 1677, 1535, 2400, 170, 991, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Chrome, Chrome, Piano Black, Electrically Adjustable & Retractable, Internal with Key, Halogen Projector,No information, Halogen, Dual Tone, Premium Black and Beige, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XZA Plus Dual Tone,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Electronic - Internal & Driver Door,No information,No information, Driver,No information,No information, LED, Halogen on front,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, CNG, Manual - 5 Gears, 26.49, 927," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 l i-CNG, 72 bhp @ 6000 rpm, 95 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson Strut with Coil Spring"," Semi Independent, Closed Profile Twist Beam with Dual Path Strut", Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel,, 60, 5, 3765, 1677, 1535, 2400, 168, 1087, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Chrome, Chrome, Piano Black, Electrically Adjustable & Retractable, Internal with Key, Halogen Projector,No information, Halogen, Dual Tone, Premium Black and Beige, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XZ Plus CNG,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only, Petrol,No information, Manual - Internal Only,,No information, Driver,No information,No information, LED, Halogen on front,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, CNG, Manual - 5 Gears, 26.49, 927," 1199 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 l i-CNG, 72 bhp @ 6000 rpm, 95 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.9," Independent, lower wishbone, McPherson Strut with Coil Spring"," Semi Independent, Closed Profile Twist Beam with Dual Path Strut", Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel,, 60, 5, 3765, 1677, 1535, 2400, 168, 1087, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Chrome, Chrome, Piano Black, Electrically Adjustable & Retractable, Internal with Key, Halogen Projector,No information, Halogen, Dual Tone, Premium Black and Beige, Centre, Front Only, Front & Rear,No information,No information, 3, 100000,No information,Tata Tiago XZ Plus CNG Dual Tone,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only, Petrol,No information, Manual - Internal Only,,No information, Driver,No information,No information, LED, Halogen on front,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
