, Fuel Type, Transmission, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Turbo / SuperCharger, Drivetrain, Others, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Speed Sensing Door Lock, Anti theft Engine immobilizer, Middle rear three-point seatbelt, Flashing Emergency Brake Light , Central Locking, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Tyre Pressure Monitoring (TPMS), Gear Shift Indicator, Parking Sensors, Clock, Headlights On Reminder, Tachometer, Integrated Music System, Unit / Display Size, Infotainment Display, Voice Command Support, Android / Apple Connectivity , Steering Mounted Controls, GPS & Navigation, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, iPod Compatibility, Steering Adjustment, Air Conditioner, Heater, Front AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, 12V Power Outlets, Boot Access from the Last Row Seats, Head Rest for Middle Rear Seat, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Brake Assist in Emergency (BA), Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Adjustment Options - Rear Row Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Power Windows, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Blinds - Side Window, Blinds - Rear Windshield, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Follow me home head Lights, Daytime Running Lights, Tail Light, Interiors, Leather-wrapped Steering, Interior Colour(s), Lights inside Cabin, Ambient or soft Interior Lighting, Cup Holders, Storage in Driver Armrest, Pockets inside Door, Reading Lamp for Rear Passengers, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME, Parking Assist, Wireless Charger, Push Button Start / Stop, Cruise Control Driving Mode, Rear AC, Driver Armrest, Armrest for Rear Seat, Split Rear Seat, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Cornering Headlights, Fog Lamps, Cooled Glove Box, Pockets in Front Seat-back, Roof Mounted Antenna, Find My Car, Vehicle Status on App, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, Ventilated Seats, Ventilated Seat Type, Rain-sensing Wipers, Automatic Head Lights, Sunroof / Moonroof, Aux Support, MP3 Playback, Differential Lock, Light inside Glove Box, Body Kit, Rear Wiper, Doot Sill Plates, 4x4 or All Wheel Drive, High-beam Assist, Gesture Control Support, Hill Descent Control, Leather-wrapped Gear Knob, Lights on Vanity Mirrors, Rub - Strips
0, Petrol, Manual - 6 Gears, 20.8, 936," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L TSI, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, Mc-Pherson Suspension and Stabiliser Bar, Twist Beam Axle, Steel Rims, 205 / 55 R16, 205 / 55 R16, Steel, 521, 45, 5, 4561, 1752, 1507, 2651, 179, 1173, 2, 4, 5 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Analogue,No information, Not Applicable, Touch-screen Display,No information," Android Auto (Wired), Apple Car Play (Wired)",No information,No information, 8,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Body Coloured, Silver, Optional, Optional , Body Coloured, Electrically Adjustable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone,No information, Beige/Black, Front and Rear,No information, Front Only,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable, 2 Way,Volkswagen Virtus Comfortline 1.0 TSI MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol, Manual - 6 Gears, 20.8, 936," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L TSI, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, Mc-Pherson Suspension and Stabiliser Bar, Twist Beam Axle, Steel Rims, 205 / 55 R16, 205 / 55 R16, Steel, 521, 45, 5, 4561, 1752, 1507, 2651, 179, 1188, 2, 4, 5 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue,No information, Not Applicable, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 8,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Chrome, Silver, Optional, Optional , Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone,No information, Beige/Black, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable, 2 Way,Volkswagen Virtus Highline 1.0 TSI MT, Reverse Camera with Guidance,No information,No information,No information," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver,No information, Halogen,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol," Automatic (TC) - 6 Gears, Paddle Shift, Sport Mode", 18.45, 830," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L TSI, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, Mc-Pherson Suspension and Stabiliser Bar, Twist Beam Axle, Steel Rims, 205 / 55 R16, 205 / 55 R16, Steel, 521, 45, 5, 4561, 1752, 1507, 2651, 179, 1224, 2, 4, 5 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Rear, Digital,No information, Analogue,No information, Not Applicable, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 8,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Chrome, Silver, Optional, Optional , Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone,No information, Beige/Black, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable, 2 Way,Volkswagen Virtus Highline 1.0 TSI AT, Reverse Camera with Guidance,No information,No information,No information," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver,No information, Halogen,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,
3, Petrol, Manual - 6 Gears, 20.8, 936," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L TSI, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, Mc-Pherson Suspension and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R16, 205 / 55 R16, Steel, 521, 45, 5, 4561, 1752, 1507, 2651, 179, 1208, 2, 4, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,No information, Rear, Digital,No information, Digital,No information, Not Applicable, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 8,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Chrome, Silver, Optional, Optional , Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone,No information, Beige/Black, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable, 2 Way,Volkswagen Virtus Topline 1.0 TSI MT, Reverse Camera with Guidance,No information,No information,No information," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver,No information, Halogen,No information,No information,No information,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable,,,,,,,,,,,,,,
4, Petrol," Automatic (TC) - 6 Gears, Paddle Shift, Sport Mode", 18.45, 830," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L TSI, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, Mc-Pherson Suspension and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R16, 205 / 55 R16, Steel, 521, 45, 5, 4561, 1752, 1507, 2651, 179, 1244, 2, 4, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Rear, Digital,No information, Digital,No information, Not Applicable, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 8,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Chrome, Silver, Optional, Optional , Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone,No information, Beige/Black, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable, 2 Way,Volkswagen Virtus Topline 1.0 TSI AT, Reverse Camera with Guidance,No information,No information,No information," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver,No information, Halogen,No information,No information,No information,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable,,,,,,,,,,,,,,
5, Petrol," Manual - 6 Gears, Sport Mode", 18.88, 850," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5L TSI, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, Mc-Pherson Suspension and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R16, 205 / 55 R16, Steel, 521, 45, 5, 4561, 1752, 1507, 2651, 179, 1260, 2, 4, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Rear, Digital,No information, Digital,No information, Not Applicable, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 8,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Chrome, Silver, Optional, Optional , Black, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone,No information, Beige/Black, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable, 2 Way,Volkswagen Virtus GT Plus 1.5 MT, Reverse Camera with Guidance,No information,No information,No information," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver,No information, Halogen,No information,No information,No information,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable,,,,,,,,,,,,,,
6, Petrol," Manual - 6 Gears, Paddle Shift, Sport Mode", 18.88, 850," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5L TSI, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, Mc-Pherson Suspension and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R16, 205 / 55 R16, Steel, 521, 45, 5, 4561, 1752, 1507, 2651, 179, 1260, 2, 4, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Rear, Digital,No information, Digital,No information, Not Applicable, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 8,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Chrome, Silver, Optional, Optional , Black, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone,No information, Beige/Black, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable, 2 Way,Volkswagen Virtus GT Edge Limited Edition MT, Reverse Camera with Guidance,No information,No information,No information," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver,No information, Halogen,No information,No information,No information,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable,,,,,,,,,,,,,,
7, Petrol," Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode", 19.62, 883," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5L TSI EVO with ACT, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, Mc-Pherson Suspension and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R16, 205 / 55 R16, Steel, 521, 45, 5, 4561, 1752, 1507, 2651, 179, 1269, 2, 4, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Rear, Digital,No information, Digital,No information, Not Applicable, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 8,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Chrome, Silver, Optional, Optional , Black, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone,No information, Beige/Black, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable, 2 Way,Volkswagen Virtus GT Plus 1.5 TSI EVO DSG, Reverse Camera with Guidance,No information,No information,No information," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver,No information, Halogen,No information,No information,No information,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable,,,,,,,,,,,,,,
8, Petrol," Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode", 19.62, 883," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5L TSI, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, Mc-Pherson Suspension and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R16, 205 / 55 R16, Steel, 521, 45, 5, 4561, 1752, 1507, 2651, 179, 1269, 2, 4, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Rear, Digital,No information, Digital,No information, Not Applicable, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 8,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Chrome, Silver, Optional, Optional , Black, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone,No information, Beige/Black, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable, 2 Way,Volkswagen Virtus GT Edge Limited Edition DSG, Reverse Camera with Guidance,No information,No information,No information," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver,No information, Halogen,No information,No information,No information,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable,,,,,,,,,,,,,,
9, Petrol, Manual - 6 Gears, 19.87, 994," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L TSI, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, McPherson Suspension and Stabiliser Bar, Twist Beam Axle, Steel Rims, 205 / 60 R16, 205 / 60 R16, Space Saver, 385, 50, 5, 4221, 1760, 1612, 2651, 188, 1208, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Analogue,No information,, Touch-screen Display,No information," Android Auto (Wired), Apple Car Play (Wired)",No information,No information, 6,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench,, Front & Rear,, Body Coloured, Painted,,, Body Coloured, Electrically Adjustable,No information, Electric Tailgate Release, Halogen,No information,, LED, LED, Dual Tone,No information,, Front and Rear,No information, Front Only,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable,,Volkswagen Taigun Comfortline 1.0 TSI MT,,,,," Blower, Vents Behind Front Armrest",No information,,,,,,,,No information,,,,,,,,,,,,No information,No information, Electronic,No information, Cladding - Black/Grey,,,,,,,,,
10, Petrol, Manual - 6 Gears, 19.87, 994," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L TSI, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, McPherson Suspension and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 60 R16, 205 / 60 R16, Space Saver, 385, 50, 5, 4221, 1760, 1612, 2651, 188, 1220, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Analogue,No information,, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 6,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Body Coloured, Painted,,, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, Halogen,No information,No information, LED, LED, Dual Tone,No information,, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable,,Volkswagen Taigun Highline 1.0 TSI MT, Reverse Camera with Guidance,No information,,," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver, Active, Halogen,No information,No information,No information,,,,,,,,No information,No information,,No information,No information, Electronic,No information, Cladding - Black/Grey,No information,No information,,,,,,,
11, Petrol," Automatic (TC) - 6 Gears, Paddle Shift, Sport Mode", 18.15, 908," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L TSI, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), 5.05, McPherson Suspension and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 60 R16, 205 / 60 R16, Space Saver, 385, 50, 5, 4221, 1760, 1612, 2651, 188, 1256, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Rear, Digital,No information, Analogue,No information,, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 6,No information, Phone & Audio Streaming,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only,No information,No information,No information, Disc, Drum,No information,No information,No information,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Partial, Front & Rear,No information, Body Coloured, Painted,,, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, Halogen,No information,No information, LED, LED, Dual Tone,No information,, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information,No information, 4, 100000, Not Applicable,,Volkswagen Taigun Highline 1.0 TSI AT, Reverse Camera with Guidance,No information,,No information," Blower, Vents Behind Front Armrest",No information, With Cup Holder, 60:40 split, Driver, Driver, Active, Halogen,No information,No information,No information,,,,,,,,No information,No information,,No information,No information, Electronic,No information, Cladding - Black/Grey,No information,No information,,,,,,,
